"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Thuissituatie (huisgenoten inclusief",149652,51.3,9124,56.7
"niet-samenwonende partner)",NA,NA,NA,NA
"Bezoek in de thuissituatie (van of bij familie,",78208,26.8,3222,20
"vrienden, enz.)",NA,NA,NA,NA
"Werksituatie",43423,14.9,2839,17.7
"Verpleeghuis of woonzorgcentrum voor ouderen4",19407,6.7,1134,7.1
"2e lijn gezondheidszorg / ziekenhuis",3842,1.3,235,1.5
"Woonvoorziening voor mensen met een beperking",3661,1.3,249,1.5
"Overige gezondheidszorg",3232,1.1,222,1.4
"School en kinderopvang",13078,4.5,168,1
"Overige woonvoorziening",1949,0.7,138,0.9
"1e lijn gezondheidszorg / huisarts",1081,0.4,97,0.6
"Dagopvang voor ouderen en mensen met een",980,0.3,76,0.5
"beperking",NA,NA,NA,NA
"Uitvaart",1081,0.4,81,0.5
"Feest (feest, verjaardag, borrel, bruiloft, enz.)",1273,0.4,35,0.2
"Religieuze bijeenkomsten",893,0.3,32,0.2
"Overige dagopvang",330,0.1,28,0.2
"Medereiziger / reis / vakantie",411,0.1,16,0.1
"Studentenvereniging/-activiteiten",293,0.1,13,0.1
"Vrijetijdsbesteding, zoals sportclub",1970,0.7,16,0.1
"Vlucht",193,0.1,5,0
"Horeca",308,0.1,7,0
"Koor",75,0,1,0
"Hospice",89,0,2,0
"Overig",996,0.3,96,0.6
