"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Thuissituatie (huisgenoten inclusief",202819,52.4,10275,59.2
"niet-samenwonende partner)",NA,NA,NA,NA
"Bezoek in de thuissituatie (van of bij familie,",97570,25.2,3806,21.9
"vrienden, enz.)",NA,NA,NA,NA
"Werksituatie",59306,15.3,2500,14.4
"School en kinderopvang",16618,4.3,814,4.7
"Verpleeghuis of woonzorgcentrum voor ouderen4",24566,6.3,275,1.6
"2e lijn gezondheidszorg / ziekenhuis",5047,1.3,135,0.8
"Feest (feest, verjaardag, borrel, bruiloft, enz.)",1595,0.4,100,0.6
"Overige gezondheidszorg",4179,1.1,100,0.6
"Woonvoorziening voor mensen met een beperking",5197,1.3,84,0.5
"Vrijetijdsbesteding, zoals sportclub",2193,0.6,57,0.3
"Overige woonvoorziening",2599,0.7,53,0.3
"Uitvaart",1511,0.4,60,0.3
"Medereiziger / reis / vakantie",561,0.1,33,0.2
"Studentenvereniging/-activiteiten",433,0.1,39,0.2
"1e lijn gezondheidszorg / huisarts",1447,0.4,41,0.2
"Dagopvang voor ouderen en mensen met een",1410,0.4,31,0.2
"beperking",NA,NA,NA,NA
"Vlucht",242,0.1,9,0.1
"Horeca",388,0.1,17,0.1
"Religieuze bijeenkomsten",1040,0.3,21,0.1
"Overige dagopvang",470,0.1,20,0.1
"Koor",90,0,1,0
"Hospice",120,0,3,0
"Overig",4612,1.2,296,1.7
