"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Thuissituatie (huisgenoten inclusief",216479,52.6,12008,56.8
"niet-samenwonende partner)",NA,NA,NA,NA
"Bezoek in de thuissituatie (van of bij familie,",102325,24.9,4091,19.4
"vrienden, enz.)",NA,NA,NA,NA
"Werksituatie",63329,15.4,3350,15.9
"School en kinderopvang",18647,4.5,1772,8.4
"Verpleeghuis of woonzorgcentrum voor ouderen4",24869,6,183,0.9
"2e lijn gezondheidszorg / ziekenhuis",5269,1.3,168,0.8
"Vrijetijdsbesteding, zoals sportclub",2327,0.6,121,0.6
"Overige gezondheidszorg",4339,1.1,125,0.6
"Woonvoorziening voor mensen met een beperking",5364,1.3,120,0.6
"Feest (feest, verjaardag, borrel, bruiloft, enz.)",1718,0.4,105,0.5
"Overige woonvoorziening",2723,0.7,108,0.5
"Uitvaart",1568,0.4,54,0.3
"Studentenvereniging/-activiteiten",479,0.1,39,0.2
"Religieuze bijeenkomsten",1086,0.3,40,0.2
"1e lijn gezondheidszorg / huisarts",1496,0.4,35,0.2
"Dagopvang voor ouderen en mensen met een",1462,0.4,40,0.2
"beperking",NA,NA,NA,NA
"Medereiziger / reis / vakantie",594,0.1,24,0.1
"Horeca",417,0.1,26,0.1
"Overige dagopvang",488,0.1,17,0.1
"Vlucht",245,0.1,3,0
"Koor",91,0,1,0
"Hospice",124,0,5,0
"Overig",5047,1.2,355,1.7
