"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Thuissituatie (huisgenoten inclusief",190868,52.1,10046,57.8
"niet-samenwonende partner)",NA,NA,NA,NA
"Bezoek in de thuissituatie (van of bij familie,",93053,25.4,3675,21.2
"vrienden, enz.)",NA,NA,NA,NA
"Werksituatie",56160,15.3,2690,15.5
"School en kinderopvang",15645,4.3,838,4.8
"Verpleeghuis of woonzorgcentrum voor ouderen4",24082,6.6,438,2.5
"2e lijn gezondheidszorg / ziekenhuis",4854,1.3,143,0.8
"Overige gezondheidszorg",4042,1.1,145,0.8
"Woonvoorziening voor mensen met een beperking",5062,1.4,136,0.8
"Overige woonvoorziening",2524,0.7,113,0.7
"Uitvaart",1441,0.4,95,0.5
"Feest (feest, verjaardag, borrel, bruiloft, enz.)",1483,0.4,71,0.4
"Vrijetijdsbesteding, zoals sportclub",2127,0.6,57,0.3
"1e lijn gezondheidszorg / huisarts",1395,0.4,52,0.3
"Dagopvang voor ouderen en mensen met een",1369,0.4,52,0.3
"beperking",NA,NA,NA,NA
"Medereiziger / reis / vakantie",521,0.1,33,0.2
"Studentenvereniging/-activiteiten",388,0.1,33,0.2
"Horeca",367,0.1,16,0.1
"Religieuze bijeenkomsten",1012,0.3,18,0.1
"Overige dagopvang",449,0.1,23,0.1
"Vlucht",227,0.1,3,0
"Koor",89,0,1,0
"Hospice",114,0,3,0
"Overig",4267,1.2,267,1.5
