"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Thuissituatie (huisgenoten en partner, niet",151592,53.3,21173,50.3
"samenwonend)",NA,NA,NA,NA
"Bezoek in de thuissituatie (van of bij familie,",54204,19.1,8988,21.3
"vrienden, enz.)",NA,NA,NA,NA
"Werksituatie",42245,14.9,6899,16.4
"School en kinderopvang",19746,6.9,3392,8.1
"Verpleeghuis of woonzorgcentrum voor ouderen4",15856,5.6,2241,5.3
"Vrijetijdsbesteding, zoals sportclub",6111,2.1,573,1.4
"2e lijn gezondheidszorg / ziekenhuis",3872,1.4,479,1.1
"Woonvoorziening voor mensen met een beperking",3363,1.2,418,1
"Overige gezondheidszorg",2800,1,399,0.9
"Overige woonvoorziening",1676,0.6,245,0.6
"Religieuze bijeenkomsten",1282,0.5,227,0.5
"Dagopvang voor ouderen en mensen met een",893,0.3,153,0.4
"beperking",NA,NA,NA,NA
"Feest (feest, verjaardag, borrel, bruiloft, enz.)",1145,0.4,111,0.3
"1e lijn gezondheidszorg / huisarts",974,0.3,134,0.3
"Uitvaart",851,0.3,142,0.3
"Medereiziger / reis / vakantie",1021,0.4,46,0.1
"Vlucht",212,0.1,22,0.1
"Horeca",2203,0.8,56,0.1
"Studentenvereniging/-activiteiten",716,0.3,63,0.1
"Overige dagopvang",309,0.1,46,0.1
"Hospice",333,0.1,56,0.1
"Koor",159,0.1,15,0
"Overig",3633,1.3,437,1
