"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Thuissituatie (huisgenoten inclusief",179429,51.9,9255,55.9
"niet-samenwonende partner)",NA,NA,NA,NA
"Bezoek in de thuissituatie (van of bij familie,",88754,25.7,3470,20.9
"vrienden, enz.)",NA,NA,NA,NA
"Werksituatie",52810,15.3,2642,15.9
"School en kinderopvang",14619,4.2,802,4.8
"Verpleeghuis of woonzorgcentrum voor ouderen4",23299,6.7,669,4
"Woonvoorziening voor mensen met een beperking",4835,1.4,196,1.2
"2e lijn gezondheidszorg / ziekenhuis",4652,1.3,188,1.1
"Overige gezondheidszorg",3867,1.1,148,0.9
"Overige woonvoorziening",2381,0.7,115,0.7
"Feest (feest, verjaardag, borrel, bruiloft, enz.)",1400,0.4,60,0.4
"1e lijn gezondheidszorg / huisarts",1334,0.4,64,0.4
"Uitvaart",1326,0.4,66,0.4
"Dagopvang voor ouderen en mensen met een",1305,0.4,55,0.3
"beperking",NA,NA,NA,NA
"Studentenvereniging/-activiteiten",352,0.1,27,0.2
"Vrijetijdsbesteding, zoals sportclub",2060,0.6,33,0.2
"Religieuze bijeenkomsten",985,0.3,27,0.2
"Medereiziger / reis / vakantie",485,0.1,17,0.1
"Vlucht",223,0.1,9,0.1
"Horeca",348,0.1,15,0.1
"Overige dagopvang",421,0.1,21,0.1
"Koor",87,0,5,0
"Hospice",106,0,6,0
"Overig",3945,1.1,282,1.7
