"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Thuissituatie (huisgenoten inclusief",159330,51.5,8173,57.2
"niet-samenwonende partner)",NA,NA,NA,NA
"Bezoek in de thuissituatie (van of bij familie,",81591,26.4,2751,19.3
"vrienden, enz.)",NA,NA,NA,NA
"Werksituatie",46610,15.1,2428,17
"Verpleeghuis of woonzorgcentrum voor ouderen4",20741,6.7,913,6.4
"Woonvoorziening voor mensen met een beperking",4072,1.3,271,1.9
"2e lijn gezondheidszorg / ziekenhuis",4126,1.3,212,1.5
"School en kinderopvang",13384,4.3,200,1.4
"Overige gezondheidszorg",3446,1.1,158,1.1
"Overige woonvoorziening",2102,0.7,112,0.8
"Dagopvang voor ouderen en mensen met een",1134,0.4,117,0.8
"beperking",NA,NA,NA,NA
"1e lijn gezondheidszorg / huisarts",1173,0.4,71,0.5
"Uitvaart",1173,0.4,72,0.5
"Medereiziger / reis / vakantie",444,0.1,24,0.2
"Overige dagopvang",361,0.1,25,0.2
"Feest (feest, verjaardag, borrel, bruiloft, enz.)",1300,0.4,19,0.1
"Studentenvereniging/-activiteiten",307,0.1,11,0.1
"Vrijetijdsbesteding, zoals sportclub",1991,0.6,13,0.1
"Religieuze bijeenkomsten",922,0.3,19,0.1
"Vlucht",201,0.1,3,0
"Horeca",317,0.1,5,0
"Koor",77,0,0,0
"Hospice",96,0,6,0
"Overig",3302,1.1,208,1.5
