"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Thuissituatie (huisgenoten en partner, niet",194634,53,16861,50.6
"samenwonend)",NA,NA,NA,NA
"Bezoek in de thuissituatie (van of bij familie,",77054,21,11743,35.2
"vrienden, enz.)",NA,NA,NA,NA
"Werksituatie",53474,14.6,3493,10.5
"Verpleeghuis of woonzorgcentrum voor ouderen4",21279,5.8,1966,5.9
"2e lijn gezondheidszorg / ziekenhuis",4924,1.3,409,1.2
"Woonvoorziening voor mensen met een beperking",4479,1.2,338,1
"Overige gezondheidszorg",3660,1,287,0.9
"Religieuze bijeenkomsten",1778,0.5,259,0.8
"Overige woonvoorziening",2240,0.6,213,0.6
"School en kinderopvang",21848,5.9,164,0.5
"1e lijn gezondheidszorg / huisarts",1264,0.3,118,0.4
"Horeca",2329,0.6,52,0.2
"Feest (feest, verjaardag, borrel, bruiloft, enz.)",1318,0.4,78,0.2
"Dagopvang voor ouderen en mensen met een",1162,0.3,77,0.2
"beperking",NA,NA,NA,NA
"Hospice",469,0.1,83,0.2
"Uitvaart",1049,0.3,77,0.2
"Medereiziger / reis / vakantie",1124,0.3,48,0.1
"Vrijetijdsbesteding, zoals sportclub",6433,1.8,35,0.1
"Overige dagopvang",408,0.1,32,0.1
"Vlucht",257,0.1,13,0
"Studentenvereniging/-activiteiten",767,0.2,10,0
"Koor",179,0,5,0
"Overig",4187,1.1,169,0.5
