"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Thuissituatie (huisgenoten en partner, niet",211585,52.7,14770,49.6
"samenwonend)",NA,NA,NA,NA
"Bezoek in de thuissituatie (van of bij familie,",88870,22.1,10600,35.6
"vrienden, enz.)",NA,NA,NA,NA
"Werksituatie",57142,14.2,3054,10.3
"Verpleeghuis of woonzorgcentrum voor ouderen4",23963,6,1986,6.7
"2e lijn gezondheidszorg / ziekenhuis",5366,1.3,354,1.2
"Overige gezondheidszorg",4036,1,316,1.1
"Woonvoorziening voor mensen met een beperking",4861,1.2,278,0.9
"Feest (feest, verjaardag, borrel, bruiloft, enz.)",1571,0.4,234,0.8
"Overige woonvoorziening",2448,0.6,175,0.6
"Religieuze bijeenkomsten",1961,0.5,148,0.5
"Uitvaart",1174,0.3,116,0.4
"School en kinderopvang",22104,5.5,99,0.3
"1e lijn gezondheidszorg / huisarts",1363,0.3,77,0.3
"Medereiziger / reis / vakantie",1177,0.3,47,0.2
"Horeca",2382,0.6,48,0.2
"Dagopvang voor ouderen en mensen met een",1230,0.3,52,0.2
"beperking",NA,NA,NA,NA
"Hospice",552,0.1,73,0.2
"Studentenvereniging/-activiteiten",788,0.2,19,0.1
"Vrijetijdsbesteding, zoals sportclub",6476,1.6,19,0.1
"Overige dagopvang",432,0.1,17,0.1
"Vlucht",268,0.1,10,0
"Koor",181,0,1,0
"Overig",4433,1.1,182,0.6
